Episode,QDRL_4Q_Reward
0,4.968592598371904
1,4.796229503504126
2,7.371331803885413
3,10.095336239049937
4,7.746752875838979
5,8.771431469202161
6,13.233894170615798
7,12.686168036353376
8,11.33934418281999
9,14.224923654332006
10,13.310680829369542
11,14.270996507213422
12,16.53784430611213
13,13.496591496532776
14,14.788391246961055
15,17.851452479663912
16,17.94473700392713
17,21.263331005675862
18,19.9412155018273
19,19.920810816395534
20,25.964443239744956
21,23.79389089549234
22,25.169050233743118
23,23.367392016974133
24,25.763358266845668
25,27.741504388016104
26,26.34669026737339
27,29.8188224071667
28,28.917031507805994
29,30.240565072720727
30,30.485468154804767
31,35.46149151579192
32,33.0226282449908
33,31.997164644613274
34,35.92631120536799
35,33.207860167563794
36,36.33789922261711
37,33.42533623893519
38,35.194505791832654
39,38.427457272818835
40,40.00751845878333
41,39.74906193649889
42,39.94843152958098
43,40.30891909684059
44,39.0529585625824
45,40.93526580072272
46,41.994982686858506
47,45.06163038589078
48,44.53661065401597
49,41.79717293674189
50,45.720721838115715
51,45.1980527616691
52,45.33262412253451
53,47.93624657605674
54,49.161352898134
55,49.568304588557545
56,47.38713840029087
57,48.76207529335602
58,50.292572284198435
59,51.81385564218185
60,50.12901830209327
61,51.102541570763734
62,50.23479058097696
63,50.619452531882146
64,54.13745054366017
65,55.44226483223641
66,53.80881708092283
67,55.88562157918292
68,55.4162931738061
69,54.41398183837169
70,56.35601581464012
71,58.52751472342899
72,56.697745918049065
73,59.45736593650705
74,53.88646926934296
75,59.26436348510857
76,58.64862239657307
77,58.5308849115202
78,59.50982949146874
79,57.003890432616025
80,59.90764393817985
81,61.124100741923364
82,63.085367725293096
83,60.71451793460467
84,60.71345778800452
85,61.53082076693489
86,63.85895157810667
87,63.43775716569593
88,62.650000641989955
89,64.43667917641434
90,64.24431840174519
91,65.77841161200666
92,63.90570700969069
93,64.76605534807769
94,65.03760012718945
95,63.97822704490508
96,66.64520033247071
97,66.9422574946663
98,66.94851451157196
99,66.97522825317563
100,65.78483884290358
101,67.4041609383653
102,67.8346142941744
103,67.57485204757158
104,68.7166930083796
105,69.75329413401548
106,71.93818400935376
107,70.09170067051974
108,70.50611513964108
109,70.39976640443287
110,68.4162632188847
111,71.0699836526002
