Episode,QDRL_4Q_5D_Reward
0,5.082836853564487
1,4.7326560000139315
2,7.457344463643128
3,10.351999158752895
4,7.570707225362185
5,8.566735957350692
6,13.416573065255893
7,12.655425399737323
8,10.998834257086441
9,14.089622752912543
10,12.919942397077254
11,13.854716025400394
12,16.258397725317625
13,12.701915550203909
14,14.01321494366753
15,17.317717192003112
16,17.285745266696193
17,20.883271937770758
18,19.261463879504145
19,19.10490116526704
20,25.77894387558184
21,23.203817999334255
22,24.624068309904974
23,22.464206480033848
24,25.03828050914679
25,27.143589942161032
26,25.44387669002459
27,29.239444377418746
28,28.097694700905485
29,29.470540370712232
30,29.62578865116124
31,35.13214505413499
32,32.254924096548386
33,30.975835620723213
34,35.305698117140736
35,32.11081923985574
36,35.54031311337439
37,32.12454368413973
38,34.01499656669741
39,37.5677250954426
40,39.24834432299879
41,38.84410061375566
42,38.96006479936348
43,39.25978985812269
44,37.72367996542568
45,39.754344663443675
46,40.851796190674825
47,44.233639725892026
48,43.53155551735253
49,40.30886371710616
50,44.672054879769824
51,43.97408844630416
52,44.02528964751792
53,46.89195362618309
54,48.18931735307205
55,48.554952230952196
56,45.96788248924564
57,47.43951917896817
58,49.09061055366584
59,50.73310468899261
60,48.71324355969301
61,49.73201378798214
62,48.64635499200684
63,48.993613034766824
64,52.928172380068844
65,54.33232177956978
66,52.37283378840596
67,54.66391597590792
68,54.03905019236317
69,52.80341244898128
70,54.94496488037658
71,57.35217999846622
72,55.16906630244381
73,58.255083243188
74,51.7750388972168
75,57.87239686849466
76,57.085262653953045
77,56.87109329222133
78,57.919188493602356
79,54.95871255977367
80,58.22438423502591
81,59.550249088923685
82,61.735956135726504
83,58.931852990480415
84,58.85853613087383
85,59.7298838497058
86,62.345607945398676
87,61.79130942500876
88,60.814357761253945
89,62.81070551364142
90,62.52308953916087
91,64.23139087702108
92,62.003306146670255
93,62.935293978602466
94,63.18767520746823
95,61.900876050978674
96,64.92811278052056
97,65.21375141377632
98,65.16359830046359
99,65.13802083065939
100,63.70228316719139
101,65.52499597076883
102,65.97060174417354
103,65.61636108528334
104,66.88997057101834
105,68.04311673513492
106,70.53199652512812
107,68.33823073451839
108,68.77229007123984
109,68.6018318146106
110,66.24816920171571
111,69.29055793755302
112,69.72187894776413
113,73.46043041379914
114,69.97004543943235
115,70.97344813716144
116,70.79678228169057
117,69.49861151807251
118,73.04525369251354
119,72.78862264001798
