Episode,DRL_Reward,QDRL_5Q_Reward
0,6.241785382528082,3.1181028538743467
1,4.8502988531571924,3.672927839954206
2,7.010905283423448,5.946154870611489
3,9.394611302841096,6.6450316791275785
4,5.196498353921028,7.1526263032272395
5,5.390741467928244,9.925091011076153
6,10.117540139325277,11.273822181284704
7,8.280607431036183,10.835420499698163
8,5.379802552466457,13.950401306919161
9,8.100180278329187,10.743118673689796
10,5.774221048861085,13.145311129678506
11,5.955990726017489,13.228129316415675
12,7.911208299318586,12.325915030683456
13,2.7074020325037083,16.0036903602023
14,3.3607974595323498,16.821819767646613
15,6.447931031890066,20.237192139239006
16,5.500079669786225,19.72519075046209
17,8.994117093904215,18.013192023420892
18,6.112500055293731,23.316690158741846
19,5.023471959935631,23.173124739677274
20,12.387525815071399,23.01623274754947
21,8.325532816985865,22.594068902216193
22,9.222659233413673,22.28474999264012
23,5.653030695926523,23.995460712003304
24,8.01210933587564,27.03184060448833
25,9.805548985277182,29.03624539199729
26,6.802858830315035,29.294677978892558
27,10.768528303176888,26.97438995779325
28,8.473387465458522,26.786058720884235
29,9.388135436425404,29.460707982287953
30,8.752101932950247,27.323604089868542
31,15.022608151191415,31.232750322738283
32,10.490196253804104,31.25908305896173
33,8.008112208320703,31.50950319799267
34,12.833571244941535,30.53678002990987
35,7.846238631281238,34.41625320241765
36,11.53791960422609,33.55489141639851
37,6.230231578610586,33.30276346311191
38,7.918785473531381,31.458112961028263
39,11.83741358225785,36.383592481294684
40,13.293576550862557,39.73340257771609
41,11.974098448336825,40.2321142752953
42,11.35092587514983,37.752301015171
43,10.977745376220106,38.19235920984803
44,8.120739746106846,40.41959029329086
45,10.10005413169733,38.89681082885509
46,10.826770110461602,41.4416337584182
47,14.695964950197773,42.74609757657893
48,12.983099791028975,44.03593708504865
49,7.783467922194537,42.702937917733344
50,13.064434093463312,43.15517425507916
51,11.350842800518512,42.76976874048409
52,10.676767928274224,43.43561369927061
53,13.950024525369322,44.89149234665314
54,15.046370962268579,46.32802335881014
55,14.841433945634744,47.68597177468215
56,10.45592470181057,45.76853439832201
57,11.818100540324073,49.63429666070763
58,13.45294031148429,47.643834324898265
59,15.093845623302332,48.5465989457762
60,11.483866920243104,48.04399945386299
61,12.241165431156992,46.17860300176162
62,9.959752558832957,51.43335838851841
63,9.752197437986235,51.74069380742106
64,14.788083465772306,50.803967654555066
65,16.15844262070475,51.80718317793212
66,12.596001118151257,52.94565929384438
67,15.290247846666913,50.500205736484915
68,13.688198672188923,52.455241216704096
69,11.1714079008663,54.808360109883864
70,13.685305683346744,52.40421275474106
71,16.622136264540497,55.057633942903806
72,12.680437738496192,53.21368604694893
73,16.67241356411308,56.23491955687515
74,6.200203278214385,55.99338038841058
75,14.791162849403277,54.24686624250944
76,12.939064989808443,58.5734112381233
77,11.95729327851317,56.37823265809325
78,12.916026982351301,56.71828104026495
79,7.6980925001627565,58.55918355209823
80,12.096930180546812,60.30423901781863
81,13.516822354375911,57.74527542817104
82,16.295674888331174,59.659062120503364
83,11.281264021719881,60.5869414527077
84,10.530940437297662,61.368168151025706
85,11.272386805624702,61.07441442583087
86,14.789395467072268,60.743026547534775
87,13.296520704203155,60.52409798439099
88,11.123773729700115,62.17731482574843
89,13.704789403574994,61.00374014469129
90,12.637813262948013,58.89422097418417
91,14.79041895579494,63.85052953551218
92,10.587685535217405,64.87575236515792
93,11.498135045817959,60.85078993532009
94,11.312087474273119,63.06968138007345
