Episode,QDRL_2Q_Reward
0,4.341128213130329
1,3.2295201416624675
2,5.945080533415889
3,8.891572271397619
4,4.757802021675528
5,5.345474233983619
6,10.786012966438774
7,9.187189061561028
8,6.453984896452283
9,9.724914147915214
10,7.60730569274024
11,8.162585768656946
12,10.599676203573683
13,5.4291125596361045
14,6.479785629395432
15,10.102595202634653
16,9.447828809294473
17,13.483391728395906
18,10.783220945103231
19,9.976318117937756
20,18.060525784861433
21,14.120040186525436
22,15.390376941297376
23,11.976211835082967
24,14.772302618492295
25,16.968409459147345
26,14.152309723759723
27,18.604068913160397
28,16.526432865147566
29,17.78911931900276
30,17.437155055810976
31,24.244718206844013
32,19.848092634429925
33,17.581532878636576
34,22.865708660820836
35,18.014567393927653
36,22.113901902153835
37,16.944101150276833
38,18.97371639097949
39,23.284796275935527
40,25.060313314301126
41,23.989674652947294
42,23.632268888456164
43,23.529830836945607
44,20.894702104275222
45,23.188875091784638
46,24.202601943795063
47,28.403656451476014
48,26.932247001014865
49,21.93242748039357
50,27.54563144252493
51,26.077870108717704
52,25.66193207774514
53,29.223688401898706
54,30.585092099103395
55,30.63466218107414
56,26.487517141776557
57,28.112181784879997
58,30.00527060479948
59,31.899240171238066
60,28.544635872624653
61,29.553881436764073
62,27.533707710686983
63,27.581551822360062
64,32.8385221401226
65,34.44502499587367
66,31.15921578759116
67,34.07410203440344
68,32.735027556499034
69,30.496483875472254
70,33.223768646358714
71,36.36083399941182
72,32.72561386906898
73,36.89232575339382
74,26.860200416741993
75,35.530216739973135
76,33.960515769603035
77,33.24575091754503
78,34.427215675662254
79,29.58537239433248
80,34.11861465326364
81,35.744520157005184
82,38.686588700596786
83,34.06337119745814
84,33.582799592022795
85,34.54724309604716
86,38.191703200253954
87,36.99304034591049
88,35.14273401108278
89,37.8736391621101
90,37.09116135259935
91,39.402654477613105
92,35.61422426033781
93,36.73320216113375
94,36.801018973664384
95,34.46472648510487
96,38.889159923860745
97,39.027960858007425
98,38.64229865600015
99,38.29776058369704
100,35.72185590746303
101,38.31168590547306
102,38.72605533534587
103,37.87011141204784
104,39.61764774821374
105,41.184315690291086
106,44.909179663611866
107,41.11123912176163
108,41.54253725912062
109,41.000706371946464
110,36.916560186210305
111,41.5942926295509
112,42.03990780012355
113,47.897037543419444
114,41.93995593721393
115,43.338385115232384
116,42.803333737999786
117,40.417330262833694
118,46.03811469212245
119,45.38082531681453
120,45.72280193012654
121,42.04204097374836
122,47.64220655132945
123,41.4234901928575
124,46.26850019726858
125,50.216750657707834
126,43.15684093133199
127,44.39391733700638
128,46.18357554288542
129,45.062988838043424
130,42.93019019884782
131,46.89656419055899
132,44.57746613395716
133,48.34380765823081
134,45.432974942225016
135,51.31299696985175
136,46.27095200403617
137,47.58059844821298
138,50.415232151463854
139,46.046302793983145
140,49.60524813685438
141,52.300448907965425
142,45.981616775557264
143,50.27821478314697
144,50.70153854008648
145,52.126613264479666
146,47.84541143956589
147,47.9111756820583
148,52.287210869216075
149,52.02842720088582
150,52.16725331549816
151,52.621775150002335
152,50.57239044307122
153,52.840547345224344
154,53.20848265980973
155,51.201532175732694
156,57.15255596624693
157,54.28902802324707
158,50.82521880876469
159,55.129423338344246
160,51.74191447790687
161,55.83910388075387
162,56.8623158478495
163,52.70987349932254
164,56.83060828767538
165,55.81577655361012
166,56.903311812758474
167,59.44123681992101
168,54.93623673051668
169,54.00588641245359
170,53.88646488117509
171,54.21973687513024
172,55.995289506026694
173,57.066071242171446
174,57.08223451201174
175,58.42765362710034
176,56.809938655290324
177,60.0695209617313
178,56.49166802187426
179,63.06850400714393
180,58.67557704886934
181,55.60565522907552
182,55.2680866076533
183,58.72322571729069
184,57.317975081174204
185,59.433995176239335
186,59.01842142358737
187,57.94669194737477
188,56.3864444091206
189,55.05156551987939
190,57.4157796353432
191,60.26975253992908
192,58.97750779206557
193,55.948186313323255
194,59.02819114806901
195,59.54048324374704
196,56.91301664170686
197,59.16405216391438
198,59.01393669132076
199,56.52888354731268
200,59.738013680999245
201,60.20586131643491
202,61.34054426164545
203,61.311800055675924
204,56.24286918465863
205,57.19691555849505
206,60.26557639427831
207,60.28595478843819
208,60.309169350394676
209,67.28672464538676
210,60.45997439806117
211,61.64876845582534
212,61.282422566995244
213,60.66402137697315
214,58.6687816892051
215,60.903247096343264
216,57.740699822644046
217,58.85683714516059
218,58.3503345612902
219,59.52605639038185
220,64.12836506638159
221,55.5251753475269
222,60.779966756495725
223,56.063911270342516
224,58.41008431493065
225,61.611439155981486
226,59.51737705542966
227,57.18871464467312
228,57.936300778447915
229,60.78774858498198
230,57.92216617198523
