Episode,QDRL_2Q_SEQ_Reward
0,0.32466867591068205
1,0.0
2,1.376525640099537
3,3.2132148775492686
4,0.7269074772274409
5,1.124942514209763
6,4.485737876196224
7,3.5506916233200174
8,1.9250824255023313
9,3.963516940057545
10,2.7162142765571744
11,3.100270130337603
12,4.632457947814062
13,1.5289366481668591
14,2.218600584600992
15,4.476124370155481
16,4.128824276622498
17,6.638964640681383
18,5.0488972762231
19,4.613222271984521
20,9.58939818604421
21,7.24938566779616
22,8.081239305732737
23,6.065529526293428
24,7.827798066271885
25,9.226068735051005
26,7.579286844478881
27,10.350398374516475
28,9.155617981101836
29,9.991402900473133
30,9.847942547166202
31,14.052007960272672
32,11.455984693001945
33,10.154994338786592
34,13.436406959584627
35,10.570930937707416
36,13.13518644986197
37,10.080696180460931
38,11.392273223802018
39,14.087000788746892
40,15.245801660386418
41,14.681584167133284
42,14.550753780942287
43,14.575559515604867
44,13.06867129108073
45,14.546331161931217
46,15.249812339865134
47,17.881793321938215
48,17.0835815845069
49,14.153674444073175
50,17.640541558545856
51,16.84796969689407
52,16.692035043579523
53,18.939390315974826
54,19.857794236077254
55,19.984516307384418
56,17.578894553598438
57,18.65773149314015
58,19.898515311328552
59,21.139711591650336
60,19.215955052494984
61,19.924143652438502
62,18.80648361305685
63,18.935669534781105
64,22.202966030152897
65,23.2702847301764
66,21.391409810309963
67,23.246067755167736
68,22.539625413022595
69,21.292206149382068
70,23.03232760538553
71,25.017804347619382
72,22.930225805845197
73,25.53302884583595
74,19.601345604669252
75,24.90842409653551
76,24.06182638690989
77,23.728470909557597
78,24.53308505693682
79,21.721349127633804
80,24.535969618597115
81,25.604270141629062
82,27.4606328312327
83,24.778905837913385
84,24.58102931844013
85,25.24835868452197
86,27.520195488990705
87,26.888743277091123
88,25.8663247125024
89,27.58625704191154
90,27.201215908249395
91,28.666776431485616
92,26.481037875144892
93,27.230499423303527
94,27.34985721345341
95,26.030753737054653
96,28.75182484236561
97,28.909581415183705
98,28.752769311313525
99,28.619404646705327
100,27.15265489177047
101,28.768943106273337
102,29.08500825735847
103,28.641873649658187
104,29.7506583400782
105,30.74988633261091
106,33.034072832437154
107,30.832493188091643
108,31.150904518572492
109,30.888441908465637
110,28.515580771859344
111,31.35952248182876
112,31.68203896955879
113,35.22364851861427
114,31.734268724760156
115,32.62055979031383
116,32.355999663562294
117,30.99060306226062
118,34.38349940307575
119,34.04408316004203
120,34.2978209848927
121,32.162218995479414
122,35.536897650299004
123,31.89505544361409
124,34.819278391838324
125,37.20976828077246
126,33.070832733165936
127,33.85290079118443
128,34.962023498644385
129,34.346160673964995
130,33.13112256664304
131,35.52893808420026
132,34.2043573728648
133,36.48275430664674
134,34.809192608520256
135,38.33744509148034
136,35.40486347773438
137,36.22993944733732
138,37.95665482681192
139,35.4263885158543
140,37.581863098396276
141,39.22692328233922
142,35.54977797285168
143,38.14177385788318
144,38.44776159937862
145,39.345741797163484
146,36.878951256474245
147,36.97792355437983
148,39.61895898928699
149,39.52865152558163
150,39.674124847716016
151,40.00699358618618
152,38.8669512781618
153,40.27068416442565
154,40.55708776343844
155,39.447896721597445
156,43.0215791108793
157,41.41227926300015
158,39.45289659187551
159,42.06139613746825
160,40.15159592930992
161,42.640733601147694
162,43.325558776493125
163,40.97397888404619
164,43.480605057962116
165,42.97506996926099
166,43.7048795950941
167,45.28672019959163
168,42.74154077533847
169,42.294557120054925
170,42.324948404443646
171,42.62250025340087
172,43.76634763188392
173,44.49906836893481
174,44.61629289567621
175,45.51301515280704
176,44.67836657174751
177,46.69753491767625
178,44.72127188246354
179,48.68125868011022
180,46.23318431771216
181,44.56089203288145
182,44.486395616768284
183,46.627065901862565
184,45.93242892460659
185,47.29359334210253
186,47.179344803915924
187,46.68414264941796
188,45.905948159017456
189,45.2608326555617
190,46.77169174045472
191,48.56798220391459
192,47.95099748243176
193,46.32463425173059
194,48.253996010839316
195,48.68985685301699
196,47.3009042815281
197,48.74875781013322
198,48.80124165318892
199,47.49797737652326
200,49.502272459990785
201,49.9143945688615
202,50.713444899804855
203,50.837178419515915
204,48.037751593022556
205,48.731945615854514
206,50.65117406231727
207,50.80268158179192
208,50.95535007395729
209,55.13453517207988
210,51.319260646071434
211,52.1444094446275
212,52.06854259746875
213,51.846052131351335
214,50.826634897189116
215,52.251588699337574
216,50.55589874799515
217,51.33159593758696
218,51.16840740168064
219,51.97501262325598
220,54.757132192551374
221,49.917068418556106
222,53.071078667674804
223,50.47228752411947
224,51.94394077244534
225,53.90549738295758
226,52.81339343856957
227,51.58476920450564
228,52.12569390376883
229,53.87482600306914
230,52.331413051224224
231,53.548016428330776
232,53.45393623489987
233,52.74471142318913
234,56.10457508662683
235,54.44516767329129
236,51.4544110882744
237,54.12018315705142
238,53.232981302752
239,55.07933670749107
240,53.2704698137137
241,54.14425223137321
242,54.94742091471149
243,55.44927125977015
244,53.16158878596157
245,54.24132700059567
246,54.16460890713754
247,54.04363313474476
248,56.88756998507668
249,55.413132284181415
250,53.594167612815966
251,56.15081193445948
252,57.592920388288256
253,56.42917627176896
254,53.61248836269158
255,54.85839843235124
256,56.90843258463421
257,54.75163780454478
258,56.119636398396565
259,56.56057888445885
260,54.718149994905424
261,55.76033953039252
262,52.26631980423552
263,54.816741824418024
264,55.746515271163545
265,54.7036191094134
266,57.977336487147205
267,54.63577020456861
268,55.80198050930855
269,56.50002018458157
270,58.01486887109054
271,54.89665130278456
272,57.83175910646101
273,56.623169918927424
274,55.59553220616263
275,57.247768550739686
276,57.02237615765078
277,56.21015130712323
278,57.00870823088289
279,56.57563724079198
280,57.18538745618668
281,57.848148128649925
282,58.91800288028241
283,55.91208145904078
284,59.638615974672746
285,55.274252584062715
286,57.29271249650274
287,58.16035610857447
288,57.895820075462765
289,56.990033612845494
290,57.50643436706055
291,57.27046775568859
292,57.238369398384684
293,58.852841403626755
294,58.396395128651136
295,57.346491750530305
296,59.12086049922599
297,58.562640335885185
298,59.17554400399968
299,59.05570020414628
300,57.58356633739364
301,57.947603071178754
302,59.41114416650252
303,59.3450477121424
304,58.758494852711316
305,58.98584727813339
306,60.28963421243178
307,58.40647649435895
308,59.68711410737378
309,58.98638814458069
310,59.056956010125106
311,60.52089359715123
312,60.32240329287859
313,60.398241362263306
314,60.999638513597226
315,59.75384417429166
316,60.53233828010907
317,59.59603774042411
318,60.34757314132499
319,59.97263180145456
320,60.30346158545454
321,60.91398422316214
322,59.55588110119306
323,62.64848647269251
324,59.56388280364799
325,59.45237750053313
326,61.98453306699821
327,61.710334929146114
328,61.64104844523955
329,61.748137161092615
330,61.19929280524623
331,60.40437308889689
332,61.49953554812953
333,60.84216060363586
334,62.62343579460319
335,61.594657751489066
336,61.017695242522905
337,61.635849702368965
338,62.48495044274456
339,61.61144936086574
340,61.46240989234771
341,62.642970395455244
342,62.75443262378455
343,62.1126872677606
344,62.26027678707104
345,63.07359022817416
346,61.51072916158543
347,61.664606887190956
348,62.46269358228393
349,63.07635271523088
350,63.707820945555824
351,64.9712330894272
352,64.47029152251699
353,63.57622456656306
354,63.82646270477399
355,62.96944148508878
356,64.04858748413552
357,63.89381096518136
358,64.60347480378067
359,63.58701229038466
360,65.01364548444164
361,66.11098303775704
362,64.61686109744477
363,65.22165715494636
364,65.60863729705702
365,64.65449821048243
366,65.36713891305159
367,65.26711304350192
368,65.45370830809694
369,64.71627931079817
370,65.58918869980839
371,66.1470911946077
372,67.16424489093862
373,66.7900045738821
374,68.03320666160708
375,65.3308278247009
376,66.99765707305025
377,66.43444276436738
378,68.44372391167346
379,65.6782180112542
380,65.74226347253766
381,66.06350319576865
382,64.70811453703764
383,66.31491757750378
384,66.18297101718944
385,67.13070199936664
386,67.3969952519997
387,68.92765932791968
388,68.13712329851076
389,66.78206024535413
390,66.56173192394576
